Time [ns] - histogram,Counts - histogram
-35,0
-34.5,0
-34,0
-33.5,0
-33,0
-32.5,0
-32,0
-31.5,0
-31,0
-30.5,0
-30,1
-29.5,0
-29,0
-28.5,0
-28,0
-27.5,0
-27,1
-26.5,1
-26,0
-25.5,0
-25,0
-24.5,0
-24,1
-23.5,3
-23,2
-22.5,2
-22,6
-21.5,1
-21,1
-20.5,6
-20,10
-19.5,8
-19,9
-18.5,25
-18,20
-17.5,18
-17,25
-16.5,37
-16,32
-15.5,42
-15,59
-14.5,76
-14,97
-13.5,113
-13,135
-12.5,201
-12,301
-11.5,361
-11,520
-10.5,590
-10,566
-9.5,420
-9,307
-8.5,290
-8,206
-7.5,117
-7,95
-6.5,77
-6,81
-5.5,67
-5,57
-4.5,47
-4,42
-3.5,31
-3,21
-2.5,19
-2,22
-1.5,16
-1,6
-0.5,12
0,14
0.5,11
1,7
1.5,7
2,6
2.5,7
3,1
3.5,1
4,4
4.5,1
5,2
5.5,1
6,2
6.5,1
7,0
7.5,2
8,0
8.5,1
9,0
9.5,0
10,0
10.5,0
11,0
11.5,0
12,0
12.5,0
13,0
13.5,0
14,0
14.5,0
15,0
15.5,1
16,0
16.5,0
17,0
17.5,0
18,1
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,0
32.5,0
33,0
33.5,0
34,0
34.5,0
35,0
